species,process,type,threshold_eV,mass_amu,energy_eV,cross_section_m2
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.0,7.5e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.001,7.5e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.002,7.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.003,6.7e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.005,6.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.007,5.4e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.0085,5.05e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.01,4.6e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.015,3.75e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.02,3.25e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.03,2.5e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.04,2.05e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.05,1.73e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.07,1.13e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.1,5.9e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.12,4e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.15,2.3e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.17,1.6e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.2,1.03e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.25,9.1e-22
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.3,1.53e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.35,2.35e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.4,3.3e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.5,5.1e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,0.7,8.6e-21
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1.0,1.38e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1.2,1.66e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1.3,1.82e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1.5,2.1e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1.7,2.3e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,1.9,2.5e-20
Ar,e+Ar=>e+Ar,elastic,0.0,39.948,2.1,2.8e-20
