species,process,type,threshold_eV,mass_amu,energy_eV,cross_section_m2
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0,7.491000000000e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0001,7.167168678875e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0002,7.034000388273e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0003,6.932398464699e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0004,6.847192518647e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0006,6.705272805461e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0008,6.586695590500e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.001,6.483088115142e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0012,6.390145160435e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0014,6.305303514227e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0017,6.189715631763e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.002,6.085003480631e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.0025,5.928602326257e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.003,5.789287423513e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.004,5.546926768654e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.005,5.338812545027e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.006,5.155095912879e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.008,4.839391319375e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.01,4.572435757455e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.012,4.340109079753e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.014,4.133987124822e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.017,3.862367727521e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.02,3.625501144980e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.025,3.288019750552e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.03,3.003843371595e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.035,2.759489543498e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.04,2.546178245295e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.045,2.357821876882e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.05,2.190000707334e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.055,2.039390568626e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.06,1.903420379564e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.065,1.780055865812e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.07,1.667656926043e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.075,1.564880150842e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.08,1.470610178753e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.085,1.383910113654e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.09,1.303984917166e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.095,1.230153860301e-20
Ar,Magboltz 11.17 GAS2 argon elastic total,elastic_total,0.0,39.948,0.1,1.161829442148e-20
