species,process,type,threshold_eV,mass_amu,energy_eV,cross_section_m2
Ar,Ar momentum transfer,momentum,0.0,39.948,0.0,2.2100465724198023e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.10526315789473684,1.8911143004545452e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.21052631578947367,1.6770082942054157e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.3157894736842105,1.6204585369618027e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.42105263157894735,1.7369459451277338e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.5263157894736842,1.9983442975971253e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.631578947368421,2.3443780130822066e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.7368421052631579,2.7055414077672145e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.8421052631578947,3.0256241179075615e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,0.9473684210526315,3.274150659216333e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.0526315789473684,3.446236679053527e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.1578947368421053,3.554019920455607e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.263157894736842,3.61617180945498e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.3684210526315788,3.6502014048278685e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.4736842105263157,3.668962652620812e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.5789473684210527,3.680379236361842e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.6842105263157894,3.6886795544001964e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.789473684210526,3.695849205669037e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,1.894736842105263,3.702716941292545e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,2.0,3.7095923068253516e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,2.2,3.722989676299808e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,2.4000000000000004,3.736927715022966e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,2.6,3.7514213642980087e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,2.8000000000000003,3.766468297785748e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,3.0,3.782062951693382e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,3.2,3.798197279429883e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,3.4000000000000004,3.814860687464706e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,3.6000000000000005,3.832039945344661e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,3.8000000000000003,3.849719106350941e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,4.0,3.8678794411714424e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,4.2,3.886499385834464e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,4.4,3.9055545050633204e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,4.6000000000000005,3.925017472133669e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,4.800000000000001,3.944858066222941e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,5.0,3.9650431881340563e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,5.2,3.9855368951540796e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,5.4,4.0063004556733814e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,5.6000000000000005,4.0272924240430484e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,5.800000000000001,4.048468735988913e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,6.0,4.069782824730923e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,6.2,4.0911857577781763e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,6.4,4.112626394184416e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,6.6000000000000005,4.134051561858068e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,6.800000000000001,4.155406254326841e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,7.000000000000001,4.176633846161729e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,7.2,4.197676326071031e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,7.4,4.218474546484074e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,7.6000000000000005,4.238968488258944e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,7.800000000000001,4.259097538970981e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,8.0,4.278800783071405e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,8.2,4.2980173020503647e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,8.4,4.3166864825981107e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,8.600000000000001,4.334748330633871e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,8.8,4.3521437889662115e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,9.0,4.368815056262843e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,9.2,4.384705904943483e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,9.4,4.399761995567654e-20
Ar,Ar momentum transfer,momentum,0.0,39.948,9.600000000000001,4.413931185271228e-20
