run_label,sweep_param,sweep_value,E/N (Td),run_time (s)
Ar_Cl2_EN_100.0,EN,100.0,100.0,4.5656112500000745
Ar_Cl2_EN_200.0,EN,200.0,200.0,4.9923497079871595
Ar_Cl2_EN_150.0,EN,150.0,150.0,6.896403457998531
Ar_Cl2_EN_50.0,EN,50.0,50.0,7.345886625000276
Ar_Cl2_EN_300.0,EN,300.0,300.0,3.269934124982683
Ar_Cl2_EN_250.0,EN,250.0,250.0,4.043031583016273
Ar_Cl2_EN_350.0,EN,350.0,350.0,2.7449044579989277
Ar_Cl2_EN_450.0,EN,450.0,450.0,1.9142759169917554
Ar_Cl2_EN_400.0,EN,400.0,400.0,3.962452250008937
Ar_Cl2_EN_500.0,EN,500.0,500.0,3.4233795829932205
TOTAL,,,,13.406567083002301
