label,mean_energy (eV),n_components,shift (eV),log10_mse,log10_mae,area_rel_error,AICc,plot_path,source_table,component_1_amplitude,component_2_amplitude,component_3_amplitude,component_1_alpha,component_2_alpha,component_3_alpha,component_1_E_c (eV),component_2_E_c (eV),component_3_E_c (eV),component_1_beta,component_2_beta,component_3_beta
Ar_Cl2_EN_50.0_sweep50,2.518240922681325,2,0.014529662722795243,0.0013025757770445696,0.011678509994774102,0.0006169954279622986,-9309.738907936999,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_50.0_sweep50.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.21172607172427055,0.0012193163351745767,,0.4125715906883858,3.9999999965631474,,3.399122690564247,3.906845086787988,,3.2288640385646694,3.9999999999999996,
Ar_Cl2_EN_100.0_sweep100,3.017738862583215,3,0.02337428434784606,0.0010121402403340661,0.012361015156940817,4.499757206090616e-06,-9503.32487766201,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_100.0_sweep100.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.1626566729254455,0.0007922559987874515,3.6974615423861735e-05,0.44968179247427714,3.9999999999999996,-1.223315678422486,3.6280368470264706,4.560991543237365,1.4381386761393398,3.574417679320525,3.9999999999999996,3.983704895124103
Ar_Cl2_EN_150.0_sweep150,3.4350916746747853,3,0.04631989729531056,0.0011893095503569626,0.011951589414465807,0.00012614638544400082,-9374.280245435591,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_150.0_sweep150.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.0006268609863600251,0.11148667170110492,0.024591763070037635,3.769306999373313,0.5921062177914839,0.03280802656747463,4.921226950079704,3.8888270344299642,7.3506653836619,3.9999999999999987,2.889426512050674,3.9999999999999996
Ar_Cl2_EN_250.0_sweep250,3.76221119419096,2,0.03108929215408884,0.0008778284203147598,0.015765224316755193,0.0025121244520575087,-9625.457145220462,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_250.0_sweep250.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.01861638633850557,0.09757260161560596,,0.02344555761390122,0.5125471420962817,,8.942819579838943,5.932667110447803,,3.9999999999999996,3.9999999999999996,
Ar_Cl2_EN_200.0_sweep200,3.840087812000443,3,0.03506882194947313,0.0006975622618257936,0.01751036918286219,0.001703583816693456,-9801.109392600873,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_200.0_sweep200.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.00023604767222853217,0.11123742806137038,0.0028856146889195407,2.5064296877374947,0.4374830760643805,-0.11567879461410627,7.314014646057541,6.030711632897993,5.741764199610399,3.208605028278525,3.9619802977191214,3.620814279490554
Ar_Cl2_EN_300.0_sweep300,4.252698287411141,3,0.02420148637776873,0.0005151046683476123,0.015528139530836173,0.0013298954366329145,-10043.686716164682,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_300.0_sweep300.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.0006129959755025087,0.09423096334702218,0.003026500537231319,1.9537077435380543,0.4731384890858112,-0.10266348386185202,8.70139102557628,6.352321827419297,17.791497691751875,3.999967119811567,3.964178433698863,0.41798294575989203
Ar_Cl2_EN_350.0_sweep350,4.609804080923375,3,0.02756235918669672,0.0003481882423664028,0.012986269507788476,0.00018349378498522858,-10356.988203889896,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_350.0_sweep350.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.05492021332072522,0.03546010333838587,0.002676566997358368,0.48985213055954946,0.3690636425983528,-0.10396194831325373,6.4565646093864135,8.778285975197718,164.59573340025594,3.9999999999999996,3.221246273017459,0.20000000000000004
Ar_Cl2_EN_400.0_sweep400,5.2137800269547006,3,0.023285355075629253,0.0009436397898894664,0.017942534465756055,7.353526708359364e-05,-9559.387199928153,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_400.0_sweep400.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.002060309586797168,0.07840101423202475,0.0004688476658532573,2.0536029632434687,0.4734680908600156,-0.2165993527261143,6.2223067200724165,6.765932694160736,248.12965964548968,3.9999999999999996,1.8357941202410533,0.20000000000000004
Ar_Cl2_EN_450.0_sweep450,5.8056900323350344,3,0.01891970207036879,0.0006091050992413532,0.017781540271347172,0.0002835713338443674,-9909.590148126346,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_450.0_sweep450.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.04910120585436669,0.014930113557571874,0.004552212822280024,0.5389746944165189,0.5589195022464362,-0.04655256011499348,6.94798907341933,11.743725382258194,89.0171272566785,3.177083235334764,3.815509203716267,0.20000000000000018
Ar_Cl2_EN_500.0_sweep500,6.236294918140653,3,-0.009265491401105413,0.0003387363668891767,0.01344516396089494,0.00018263787697104313,-10379.00511095258,outputs/ar_cl2_en_scan_jit/plots/eedf_fits/eedf_fit_Ar_Cl2_EN_500.0_sweep500.png,outputs/ar_cl2_en_scan_jit/eedf_table.csv,0.06283565322373223,0.00023780727757121385,3.4797155637592486e-07,0.5143232649600821,3.9999984148125702,2.429946214821479,6.319927095690015,3.375325553866205,24.08236906399016,2.5947859607922976,1.302582310745607,0.20316460359196123
