step,dt,t_determine_timestep,t_determine_collisions,t_perform_collisions,t_collect_output
1,3.736590343337168e-15,0.00022179199731908739,0.019790958001976833,0.000585667003178969,0.00035754102282226086
2,1.6722512817649631e-15,0.00026699999580159783,0.028204041998833418,0.0022334580135066062,0.002089707995764911
3,2.7603422588365376e-15,0.00010616701911203563,0.022249125002417713,0.0005706249794457108,0.000592124997638166
4,1.1229543756564708e-15,8.941601845435798e-05,0.018747583992080763,0.0007790410018060356,0.0009387499885633588
5,2.1557304716338283e-15,0.00030587500077672303,0.012590416998136789,0.0007061249925754964,0.0015826660091988742
6,1.4300276111836196e-15,0.00026870801229961216,0.015027791989268735,0.0009056670241989195,0.0004790829843841493
7,4.3335731975601575e-15,0.00010187498992308974,0.01818791701225564,0.0015252500015776604,0.04307574999984354
8,1.8502402227237275e-15,0.00028570799622684717,0.02743587500299327,0.0021453750086948276,0.0006954999989829957
9,2.231246456654504e-15,0.0001057499903254211,0.017365875013638288,0.0019333339878357947,0.0006387910107150674
10,2.945489598237302e-16,0.00010533398017287254,0.013694166002096608,0.0006947500223759562,0.000669291999656707
11,1.5832618199223722e-15,8.579198038205504e-05,0.013312166993273422,0.0007973330211825669,0.0003562920028343797
12,2.152073450633025e-15,9.870799840427935e-05,0.01794129202608019,0.0008452909823972732,0.001309959014179185
13,4.388535400741633e-15,0.0006980840116739273,0.02150699999765493,0.0011265409993939102,0.0004445420054253191
14,2.6324240263125576e-15,0.00031895801657810807,0.013648458989337087,0.0005340829957276583,0.00040683301631361246
15,1.8602856491586153e-15,7.591702160425484e-05,0.012472999980673194,0.0005942080169916153,0.0013038749748375267
16,4.815782722923251e-15,0.0001962080132216215,0.0632308749773074,0.0009858340199571103,0.003049165999982506
17,2.138996024104525e-15,0.00021295799524523318,0.02311541701783426,0.0022078329930081964,0.0023690419911872596
18,2.2966182906427877e-15,0.0005541249993257225,0.016564082994591445,0.0008727500098757446,0.0008517919923178852
19,1.5394498451070354e-15,9.066698839887977e-05,0.018180832994403318,0.0007104169926606119,0.0004877080209553242
20,1.5390712839951414e-15,0.00033495898242108524,0.013005875021917745,0.0013364579936023802,0.0008348329865839332
21,4.767642797121514e-15,0.00027170899556949735,0.019194332999177277,0.0005086669989395887,0.0004410410183481872
22,2.1418067253586353e-15,0.00017154199304059148,0.018532957998104393,0.0013736250111833215,0.0012182919890619814
23,2.6054013439273514e-15,0.000629791000392288,0.012762792001012713,0.0007399579917546362,0.000376791984308511
24,1.4538362594690698e-15,0.00011691701365634799,0.015160416980506852,0.0022704580042045563,0.0013205000141169876
25,1.3392637105848363e-15,0.00014154199743643403,0.013520166976377368,0.0007552500173915178,0.0006359999824780971
26,2.483246171637572e-15,0.0005764999950770289,0.016870959021616727,0.0005962080031167716,0.0008099999977275729
27,2.28061037345274e-15,9.508299990557134e-05,0.012158166995504871,0.0009491250093560666,0.0007345000049099326
28,1.840699008750444e-15,0.0003137500025331974,0.018004749988904223,0.0005844169936608523,0.0021967909997329116
29,1.7744203973778095e-15,0.00029508399893529713,0.018158874998334795,0.000926957989577204,0.002002000022912398
30,2.066850281110159e-15,0.000371750007616356,0.014189957990311086,0.0010375000128988177,0.003472375014098361
31,1.386131950051547e-15,0.00014387498958967626,0.01151654199929908,0.0009499580191913992,0.0004898329789284617
