% COMSOL Interpolation (Spreadsheet) | args: epsbar_eV | cols: epsbar_eV, mu_m2_V_s, De_m2_s
% Source: outputs/ar_cl2_en_scan_jit2/summary.csv
% Column map: 1=epsbar_eV, 2=mu_m2_V_s, 3=De_m2_s
% Source columns: epsbar='mean energy (eV)', mu='bulk drift velocity (m.s-1)', De='bulk L diffusion coeff. * N (m-1.s-1)'
% Note: mu source column='bulk drift velocity (m.s-1)' (velocity). Check units before COMSOL import.
% Note: De source column='bulk L diffusion coeff. * N (m-1.s-1)' (D*N). Check units before COMSOL import.
2.61074118e+00,6.09808371e+04,1.40223718e+24
3.06821096e+00,7.75317991e+04,9.74449377e+23
3.29560306e+00,8.30772395e+04,7.91395426e+23
3.73410537e+00,9.68262389e+04,6.73712750e+23
3.95001911e+00,1.01858699e+05,7.21944463e+23
4.28390964e+00,1.30679812e+05,6.99211576e+23
4.32177110e+00,1.27775474e+05,7.93047031e+23
5.52168102e+00,1.81713698e+05,1.13462429e+24
5.58945401e+00,1.87044312e+05,1.31965769e+24
5.87530015e+00,2.08752103e+05,1.30805016e+24
