run_label,sweep_param,sweep_value,E/N (Td),run_time (s)
Ar_Cl2_EN_200.0,EN,200.0,200.0,5.041246000007959
Ar_Cl2_EN_150.0,EN,150.0,150.0,6.354290749994107
Ar_Cl2_EN_100.0,EN,100.0,100.0,8.36875612498261
Ar_Cl2_EN_250.0,EN,250.0,250.0,5.367573625000659
Ar_Cl2_EN_300.0,EN,300.0,300.0,4.499601333984174
Ar_Cl2_EN_350.0,EN,350.0,350.0,3.6575625000114087
Ar_Cl2_EN_50.0,EN,50.0,50.0,13.018803333019605
Ar_Cl2_EN_450.0,EN,450.0,450.0,4.4932105830230284
Ar_Cl2_EN_400.0,EN,400.0,400.0,5.165160500007914
Ar_Cl2_EN_500.0,EN,500.0,500.0,4.257329040992772
TOTAL,,,,17.62533495799289
