E/N (Td),mean energy (eV),mean energy error (eV),bulk drift velocity (m.s-1),bulk drift velocity error (m.s-1),bulk L diffusion coeff. * N (m-1.s-1),bulk L diffusion coeff. error * N (m-1.s-1),bulk T diffusion coeff. * N (m-1.s-1),bulk T diffusion coeff. error * N (m-1.s-1),flux drift velocity (m.s-1),flux drift velocity error (m.s-1),flux L diffusion coeff. * N (m-1.s-1),flux L diffusion coeff. error * N (m-1.s-1),flux T diffusion coeff. * N (m-1.s-1),flux T diffusion coeff. error * N (m-1.s-1),effective ionization rate coeff. (counted) (m3.s-1),effective ionization rate coeff. (counted) error (m3.s-1),ionization rate coeff. (counted) (m3.s-1),ionization rate coeff. (counted) error (m3.s-1),attachment rate coeff. (counted) (m3.s-1),attachment rate coeff. (counted) error (m3.s-1),effective ionization rate coeff. (convolution) (m3.s-1),ionization rate coeff. (convolution) (m3.s-1),attachment rate coeff. (convolution) (m3.s-1),run_label,sweep_param,sweep_value,run_time (s)
20.0,2.1412257730335815,0.00020002725701300046,27919.036301239834,567.8872434966673,1.6110768809795818e+24,5.925656191781959e+22,2.2584266268608087e+24,8.874824534477179e+22,30206.59121447295,971.2244871863467,1.8195849888202232e+24,8.737600939919506e+22,2.515559552252362e+24,1.247626716019169e+23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_20.0,EN,20.0,40.30938145899563
40.0,2.476005594506175,0.0008237341255093588,45682.81975014749,418.2330903028854,1.2454785116937606e+24,1.5783257567785757e+22,3.0144543246207953e+24,2.4289220826851153e+22,48218.97509531186,1660.0694614085353,1.3172244696802197e+24,6.570204960335269e+22,3.1675060030032383e+24,7.866122088986381e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_40.0,EN,40.0,19.144935041986173
60.0,2.6947865291579083,0.002941551811069192,59062.11344126411,1590.6463603697675,9.194065958785743e+23,1.8441888262140197e+22,2.587413674024131e+24,5.083397093842733e+22,57045.88516910089,2351.3079795945214,9.7283256546078e+23,4.863658275855496e+22,2.516285946679226e+24,7.627337191342118e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_60.0,EN,60.0,10.537113083992153
80.0,2.8558468124549172,0.003788910881077505,65565.92952848558,1208.6445985699297,1.0424381301601998e+24,2.8604224016522074e+22,2.5937941456172493e+24,5.422133257593384e+22,63415.76857786189,2421.9209678158186,1.0471268093693937e+24,5.189696522192521e+22,2.433011495539848e+24,8.5296042476403e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_80.0,EN,80.0,12.651043749996461
100.0,2.8787157099809,0.004030836210789497,65176.50533354884,1609.7845642113302,8.121320385025796e+23,1.294689899620194e+22,2.1953558251035622e+24,3.0865302138894523e+22,64339.99689256413,2752.9604912756718,8.238551499972395e+23,4.075941955773191e+22,2.13806140380971e+24,6.080725446802575e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_100.0,EN,100.0,6.586850374995265
120.0,3.1733682536631727,0.008886668045304663,87149.3471472312,1860.5993859451753,9.505232573787519e+23,1.98102859757193e+22,2.4535076626640307e+24,2.908942009828814e+22,82906.5086677745,3128.688445616971,9.129006786518163e+23,4.520353166734542e+22,2.374436294087187e+24,5.474189033966744e+22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ar_Cl2_EN_120.0,EN,120.0,4.950952582992613
140.0,3.244621585198395,0.0041344636891269635,78960.38479793788,986.9590323559794,7.727135681238313e+23,1.1555074600208498e+22,2.033241412912212e+24,1.8809350778489762e+22,81996.19959776796,2723.043466955349,8.184304111514718e+23,4.084215950185548e+22,2.1043574099198448e+24,4.739512468530894e+22,0.0,0.0,0.0,0.0,0.0,0.0,4.87786252054717e-21,4.87786252054717e-21,0.0,Ar_Cl2_EN_140.0,EN,140.0,6.369936458009761
160.0,3.3353902546428267,0.002034724549436629,76066.80272452054,1040.1486390425,6.190778310197684e+23,1.23248349882889e+22,1.6850515300322246e+24,1.8065722528926725e+22,81070.19459408027,2526.167574367051,6.734105146661604e+23,3.3656902480418545e+22,1.7740635413676988e+24,4.046687488341582e+22,0.0,0.0,0.0,0.0,0.0,0.0,3.695904486067839e-21,3.695904486067839e-21,0.0,Ar_Cl2_EN_160.0,EN,160.0,5.292554374987958
180.0,3.401440513565989,0.009743947876008652,94502.352932251,1576.7105974913345,6.891375731411298e+23,9.825649964498236e+21,1.9053876520048926e+24,1.9266738954656813e+22,96236.00363054176,3339.470020308909,7.101042728156322e+23,3.535775867727296e+22,1.9442399713740414e+24,4.563952051021488e+22,0.0,0.0,0.0,0.0,0.0,0.0,5.759813569206561e-20,5.759813569206561e-20,0.0,Ar_Cl2_EN_180.0,EN,180.0,4.523414583003614
200.0,3.7053691707535386,0.008671180076948304,96453.81431215077,1035.5429230253715,7.3953762260063e+23,1.3974823734307442e+22,1.989962510279025e+24,2.256941353236422e+22,99326.49394626188,3088.837755565135,7.490785032972804e+23,3.728850368099322e+22,2.024605762147977e+24,4.692393239193585e+22,5.213305589282092e-18,4.498060226300088e-19,5.213248544450678e-18,4.498297822513549e-19,0.0,0.0,4.375502562068096e-18,4.375502562068096e-18,0.0,Ar_Cl2_EN_200.0,EN,200.0,5.910682792018633
220.0,3.9112096588627434,0.0070017465792313925,98174.53449197886,2532.293518922427,7.34789459656113e+23,1.955416889300238e+22,1.9017008065367894e+24,2.527814709870163e+22,104671.086225393,3785.2359267335555,7.860589281839165e+23,3.929945357625451e+22,1.9969157635168274e+24,4.126869090248886e+22,1.405845134059129e-17,9.042735013165993e-19,1.4058982212323322e-17,9.043689594874825e-19,0.0,0.0,1.123468486108356e-17,1.123468486108356e-17,0.0,Ar_Cl2_EN_220.0,EN,220.0,3.872432333009783
240.0,3.9322276795797504,0.011813089071695329,107591.2074459773,1841.0689742771415,7.304368469602561e+23,1.1654172379727882e+22,1.940128123262516e+24,3.155530537729598e+22,115345.2773102822,4090.9584097281227,7.90787418420457e+23,3.934067938643805e+22,2.007003910411764e+24,5.362320075004305e+22,2.5673838285508665e-17,8.272487468973818e-18,2.567251009546362e-17,8.272930667732935e-18,0.0,0.0,8.626508465614318e-18,8.626508465614318e-18,0.0,Ar_Cl2_EN_240.0,EN,240.0,4.633919290994527
260.0,4.499881557363268,0.014824180607296709,125222.68742537218,2309.3362469504464,1.0477278504089344e+24,1.4992977573839037e+22,2.3171383066954403e+24,3.1488441906035373e+22,108476.60069591393,4534.631230425387,8.915708974079031e+23,4.4550319866449855e+22,2.145988333916325e+24,6.1521728592566746e+22,1.0720965613763856e-16,3.188260112667205e-18,1.0727946583196848e-16,3.195773174469843e-18,0.0,0.0,1.0087030583002937e-16,1.0087030583002937e-16,0.0,Ar_Cl2_EN_260.0,EN,260.0,9.37201383401407
280.0,4.032712452430163,0.017056535455900128,118635.91107505394,1217.2247665946936,6.760941245060067e+23,9.048524115775165e+21,1.848298514554614e+24,1.8907434298410845e+22,118364.58125237569,3785.0930361252017,6.911437406735792e+23,3.429036391826472e+22,1.859600203299757e+24,3.897075715398641e+22,3.774090201108992e-18,5.491046470718338e-19,3.7748481006119745e-18,5.49306201042904e-19,0.0,0.0,1.6198554847126283e-17,1.6198554847126283e-17,0.0,Ar_Cl2_EN_280.0,EN,280.0,4.504159042000538
300.0,4.472435262227687,0.004839240846857896,119039.0371799663,639.6034707688792,8.532912066977704e+23,1.2816649157491458e+22,1.763037801208494e+24,8.492321115213867e+21,116845.2976888309,3755.8856259545364,7.924594241181172e+23,3.945415709636941e+22,1.8313398163767908e+24,3.835256947701768e+22,1.809574863534317e-16,4.105816284223998e-18,1.8096484969367062e-16,4.107583666514444e-18,0.0,0.0,8.9275991171023e-17,8.9275991171023e-17,0.0,Ar_Cl2_EN_300.0,EN,300.0,6.8674948750121985
320.0,4.445679851883944,0.035868822540595625,150254.98956278118,1867.1150810945849,9.290138336249496e+23,1.6575970059584107e+22,1.93633983828433e+24,2.206380073008078e+22,136352.99068186048,4670.289207411425,8.023686309706457e+23,3.98873418240806e+22,1.8739038904998747e+24,4.709932831424465e+22,5.968110095801445e-17,3.3246203997788235e-18,5.97777631320712e-17,3.3397235068853545e-18,0.0,0.0,1.2950858011425787e-16,1.2950858011425787e-16,0.0,Ar_Cl2_EN_320.0,EN,320.0,5.802236332994653
340.0,4.580894097246707,0.016070177048207047,105028.42079850953,1170.6311155623405,7.418529669381255e+23,7.366040666305814e+21,1.42492973363208e+24,1.3351236671924192e+22,99545.5192428875,3983.434311017764,6.778252146445156e+23,3.3849610718983095e+22,1.438116115740223e+24,4.333516471896227e+22,4.658363953476607e-16,7.468131168299565e-17,4.654132618295276e-16,7.471591427787027e-17,0.0,0.0,1.1903286220870925e-16,1.1903286220870925e-16,0.0,Ar_Cl2_EN_340.0,EN,340.0,5.5468691670103
360.0,4.9150385885785415,0.029461450090130265,167336.81923061676,2329.116808915758,1.0826533242840712e+24,1.6379619547338791e+22,1.962862798874095e+24,2.096040924189273e+22,148823.3298822637,5513.461481054275,9.175796168619896e+23,4.566287401717665e+22,1.9195286628531755e+24,5.30255939147173e+22,2.704053927721665e-16,8.66023970692095e-18,2.7065780049597356e-16,8.692314785430624e-18,0.0,0.0,2.4887097001782487e-16,2.4887097001782487e-16,0.0,Ar_Cl2_EN_360.0,EN,360.0,4.6918089170067105
380.0,5.150449312879969,0.012679033491477426,161794.71809770333,1414.4684189911068,1.0842027320822958e+24,1.3887562198734126e+22,1.836245977300205e+24,1.3292168348308718e+22,144711.84584700858,4834.299782140812,8.908948236323677e+23,4.432645237523835e+22,1.8336424083534753e+24,4.4180153634890665e+22,4.059958251322632e-16,1.1947001334604325e-17,4.0667616460318407e-16,1.2005811714068908e-17,0.0,0.0,3.6280643673727886e-16,3.6280643673727886e-16,0.0,Ar_Cl2_EN_380.0,EN,380.0,5.5170921250246465
400.0,5.043734794722168,0.014195195404818433,150719.87166403033,1420.187006821996,9.450706139238257e+23,1.221308993087514e+22,1.8118818143173135e+24,1.3359961200375491e+22,141866.4667753069,5035.055698265957,8.498556625754955e+23,4.242061249340476e+22,1.813171839568138e+24,4.657677695277337e+22,3.921293217675163e-16,8.818335242762534e-18,3.921618436562321e-16,8.829758285080726e-18,0.0,0.0,2.9705061572147843e-16,2.9705061572147843e-16,0.0,Ar_Cl2_EN_400.0,EN,400.0,5.380292708025081
420.0,5.226935542337238,0.024875135383528833,163805.33819613035,2910.023717259815,1.0135091422076837e+24,2.1199953811066375e+22,1.806749704020771e+24,2.6891275793332917e+22,145685.11821352132,5516.376373101695,8.498348002817037e+23,4.242837760182238e+22,1.778497312415568e+24,4.85038689587153e+22,6.139177637133201e-16,3.434152547439928e-17,6.131635521173702e-16,3.437507699911871e-17,0.0,0.0,4.682091178809446e-16,4.682091178809446e-16,0.0,Ar_Cl2_EN_420.0,EN,420.0,6.009202166023897
440.0,5.102682662782238,0.011865563010621413,138373.1459787876,1058.716542103028,8.318355965745316e+23,8.84794721739805e+21,1.4632184596578282e+24,9.325749475189429e+21,128491.0661998207,4787.273823845294,7.433580070829418e+23,3.699979167299094e+22,1.5031248073079975e+24,4.0642453104338395e+22,6.046491960015529e-16,1.3899598713660158e-17,6.04894856159754e-16,1.3916219269506814e-17,0.0,0.0,3.572318082244287e-16,3.572318082244287e-16,0.0,Ar_Cl2_EN_440.0,EN,440.0,4.040583832975244
